predictor,benchmark,m,n,k,m2,mispred_rate
bimodal,gcc_trace.txt,7,,,,25.72
bimodal,gcc_trace.txt,8,,,,21.66
bimodal,gcc_trace.txt,9,,,,18.00
bimodal,gcc_trace.txt,10,,,,15.33
bimodal,gcc_trace.txt,11,,,,13.46
bimodal,gcc_trace.txt,12,,,,12.30
bimodal,jpeg_trace.txt,7,,,,7.85
bimodal,jpeg_trace.txt,8,,,,7.75
bimodal,jpeg_trace.txt,9,,,,7.69
bimodal,jpeg_trace.txt,10,,,,7.65
bimodal,jpeg_trace.txt,11,,,,7.51
bimodal,jpeg_trace.txt,12,,,,7.49
gshare,gcc_trace.txt,7,2,,,27.81
gshare,gcc_trace.txt,7,4,,,28.95
gshare,gcc_trace.txt,7,6,,,31.10
gshare,gcc_trace.txt,8,2,,,23.56
gshare,gcc_trace.txt,8,4,,,24.96
gshare,gcc_trace.txt,8,6,,,27.53
gshare,gcc_trace.txt,8,8,,,29.53
gshare,gcc_trace.txt,9,2,,,19.94
gshare,gcc_trace.txt,9,4,,,20.84
gshare,gcc_trace.txt,9,6,,,23.47
gshare,gcc_trace.txt,9,8,,,25.49
gshare,gcc_trace.txt,10,2,,,16.95
gshare,gcc_trace.txt,10,4,,,18.00
gshare,gcc_trace.txt,10,6,,,19.88
gshare,gcc_trace.txt,10,8,,,21.22
gshare,gcc_trace.txt,10,10,,,22.52
gshare,gcc_trace.txt,11,2,,,14.46
gshare,gcc_trace.txt,11,4,,,15.05
gshare,gcc_trace.txt,11,6,,,17.06
gshare,gcc_trace.txt,11,8,,,17.75
gshare,gcc_trace.txt,11,10,,,18.84
gshare,gcc_trace.txt,12,2,,,12.53
gshare,gcc_trace.txt,12,4,,,13.40
gshare,gcc_trace.txt,12,6,,,14.47
gshare,gcc_trace.txt,12,8,,,15.16
gshare,gcc_trace.txt,12,10,,,15.69
gshare,gcc_trace.txt,12,12,,,16.28
gshare,jpeg_trace.txt,7,2,,,8.41
gshare,jpeg_trace.txt,7,4,,,8.65
gshare,jpeg_trace.txt,7,6,,,9.49
gshare,jpeg_trace.txt,8,2,,,8.04
gshare,jpeg_trace.txt,8,4,,,8.20
gshare,jpeg_trace.txt,8,6,,,8.82
gshare,jpeg_trace.txt,8,8,,,9.07
gshare,jpeg_trace.txt,9,2,,,7.94
gshare,jpeg_trace.txt,9,4,,,8.04
gshare,jpeg_trace.txt,9,6,,,8.46
gshare,jpeg_trace.txt,9,8,,,8.32
gshare,jpeg_trace.txt,10,2,,,7.87
gshare,jpeg_trace.txt,10,4,,,7.97
gshare,jpeg_trace.txt,10,6,,,8.37
gshare,jpeg_trace.txt,10,8,,,8.05
gshare,jpeg_trace.txt,10,10,,,7.98
gshare,jpeg_trace.txt,11,2,,,7.45
gshare,jpeg_trace.txt,11,4,,,7.62
gshare,jpeg_trace.txt,11,6,,,7.90
gshare,jpeg_trace.txt,11,8,,,7.50
gshare,jpeg_trace.txt,11,10,,,7.47
gshare,jpeg_trace.txt,12,2,,,7.43
gshare,jpeg_trace.txt,12,4,,,7.60
gshare,jpeg_trace.txt,12,6,,,7.84
gshare,jpeg_trace.txt,12,8,,,7.28
gshare,jpeg_trace.txt,12,10,,,7.30
gshare,jpeg_trace.txt,12,12,,,7.35
